FZ 875	FZ 875	23/09/2026	13:15	13:15	 F12	AL-QASSIM (ELQ)	International	Scheduled	 Detail
QR 1023	QR 1023	23/09/2026	13:15	13:15	 D16	BALADIYAT AD DAWHAH (DOH)	International	Scheduled	 Detail
IX 346	IX 346	23/09/2026	11:55	13:20	 F4	KERALA (CCJ)	International	Scheduled	 Detail
EK 654	EK 654	23/09/2026	13:20	13:20	 B8	CMB (CMB)	International	Scheduled	 Detail
RJ 611	RJ 611	23/09/2026	13:20	13:20	 D7	AMMAN (AMM)	International	Scheduled	 Detail
SV 597	SV 597	23/09/2026	13:20	13:20	 D11	AR RIYAD (RUH)	International	Scheduled	 Detail
FZ 203	FZ 203	23/09/2026	13:35	13:35	 F6	ARBIL (EBL)	International	Scheduled	 Detail
FZ 811	FZ 811	23/09/2026	13:40	13:40	 F8	ABHA (AHB)	International	Scheduled	 Detail
CY 107	CY 107	23/09/2026	13:45	13:45	 D9	LARNAKA (LCA)	International	Scheduled	 Detail
EK 566	EK 566	23/09/2026	13:45	13:45	 B31	KARNATAKA (BLR)	International	Scheduled	 Detail
FZ 727	FZ 727	23/09/2026	13:45	13:45	 F11	ISTANBUL (IST)	International	Scheduled	 Detail
EK 903	EK 903	23/09/2026	13:50	13:50	 B13	AMMAN (AMM)	International	Scheduled	 Detail
FZ 1625	FZ 1625	23/09/2026	13:50	13:50	 C15	CENTRAL DISTRICT (TLV)	International	Scheduled	 Detail
FZ 863	FZ 863	23/09/2026	13:50	13:50	 F12	EASTERN PROVINCE (DMM)	International	Scheduled	 Detail
TK 765	TK 765	23/09/2026	13:50	13:50	 D6	ISTANBUL (IST)	International	Scheduled	 Detail
FZ 523	FZ 523	23/09/2026	13:55	13:55	 F5	DHAKA (DAC)	International	Scheduled	 Detail
FZ 651	FZ 651	23/09/2026	13:55	13:55	 F9	CENTRAL REGION (EBB)	International	Scheduled	 Detail
EK 187	EK 187	23/09/2026	14:05	14:05	 C12	CATALONIA (BCN)	International	Scheduled	 Detail
EK 181	EK 181	23/09/2026	14:10	14:10	 A16	FLANDERS (BRU)	International	Scheduled	 Detail
SU 779	SU 779	23/09/2026	14:10	14:10	 D7	KRASNODARSKIY (KRR)	International	Scheduled	 Detail
EK 3	EK 3	23/09/2026	14:15	14:15	 A1	ENGLAND (LHR)	International	Scheduled	 Detail
EK 67	EK 67	23/09/2026	14:15	14:15	 A10	ENGLAND (STN)	International	Scheduled	 Detail
SV 569	SV 569	23/09/2026	14:15	14:15	 D12	MAKKAH (JED)	International	Scheduled	 Detail
EK 149	EK 149	23/09/2026	14:20	14:20	 B28	NORTH HOLLAND (AMS)	International	Scheduled	 Detail
FZ 21	FZ 21	23/09/2026	14:20	14:20	 F6	MUHARRAQ (BAH)	International	Scheduled	 Detail
EK 193	EK 193	23/09/2026	14:25	14:25	 B23	LISBON (LIS)	International	Scheduled	 Detail
EK 57	EK 57	23/09/2026	14:25	14:25	 B14	DUSSELDORF (DUS)	International	Scheduled	 Detail
EK 765	EK 765	23/09/2026	14:25	14:25	 A5	GAUTENG (JNB)	International	Scheduled	 Detail
EK 953	EK 953	23/09/2026	14:25	14:25	 B6	MONT-LIBAN (BEY)	International	Scheduled	 Detail
FZ 897	FZ 897	23/09/2026	14:25	14:25	 F11	AL MADINAH AL MUNAWWARAH (MED)	International	Scheduled	 Detail
EK 121	EK 121	23/09/2026	14:30	14:30	 B27	ISTANBUL (IST)	International	Scheduled	 Detail
EK 143	EK 143	23/09/2026	14:30	14:30	 C1	MADRID (MAD)	International	Scheduled	 Detail
EK 175	EK 175	23/09/2026	14:30	14:30	 A17	ST. PETERSBURG (LED)	International	Scheduled	 Detail
EK 19	EK 19	23/09/2026	14:30	14:30	 B21	ENGLAND (MAN)	International	Scheduled	 Detail
EK 75	EK 75	23/09/2026	14:30	14:30	 A21	PARIS (CDG)	International	Scheduled	 Detail
