TK 2011	TK 2011	23/09/2026	10:15	10:19		KAYSERI (ASR)	Domestic	Active	 Detail
ME 265	ME 265	23/09/2026	10:20	10:20		MONT-LIBAN (BEY)	International	Active	 Detail
PC 2243	PC 2243	23/09/2026	10:20	10:20		MUGLA (BJV)	Domestic	Active	 Detail
PC 2285	PC 2285	23/09/2026	10:20	10:20		MUGLA (DLM)	Domestic	Active	 Detail
PC 391	PC 391	23/09/2026	10:20	10:20		MOSKOVSKAYA (VKO)	International	Scheduled	 Detail
TK 2311	TK 2311	23/09/2026	10:10	10:23		IZMIR (ADB)	Domestic	Active	 Detail
TK 709	TK 709	23/09/2026	09:45	10:25		SINDH (KHI)	International	Active	 Detail
PC 2663	PC 2663	23/09/2026	10:25	10:25		ANKARA (ESB)	Domestic	Scheduled	 Detail
TK 2409	TK 2409	23/09/2026	10:15	10:27		ANTALYA (AYT)	Domestic	Active	 Detail
IR 719	IR 719	23/09/2026	09:30	10:29		TEHRAN (IKA)	International	Active	 Detail
RO 261	RO 261	23/09/2026	09:25	10:30		ILFOV (OTP)	International	Scheduled	 Detail
TK 2631	TK 2631	23/09/2026	10:15	10:30		MALATYA (MLX)	Domestic	Active	 Detail
LO 2101	LO 2101	23/09/2026	10:30	10:30		LESSER POLAND VOIVODESHIP (KRK)	International	Active	 Detail
PC 2005	PC 2005	23/09/2026	10:30	10:30		ANTALYA (AYT)	Domestic	Active	 Detail
PC 2183	PC 2183	23/09/2026	10:30	10:30		IZMIR (ADB)	Domestic	Scheduled	 Detail
TK 1072	TK 1072	23/09/2026	10:30	10:30		VARNA (VAR)	International	Active	 Detail
TK 1362	TK 1362	23/09/2026	10:45	10:30		LATIUM (FCO)	International	Active	 Detail
TK 2807	TK 2807	23/09/2026	10:15	10:31		SAMSUN (SZF)	Domestic	Active	 Detail
TK 420	TK 420	23/09/2026	10:20	10:32		MOSKOVSKAYA (VKO)	International	Active	 Detail
TK 325	TK 325	23/09/2026	10:25	10:32		AHAL (ASB)	International	Active	 Detail
TK 2817	TK 2817	23/09/2026	10:25	10:37		TRABZON (TZX)	Domestic	Active	 Detail
TK 2123	TK 2123	23/09/2026	10:10	10:38		ANKARA (ESB)	Domestic	Active	 Detail
PC 2531	PC 2531	23/09/2026	10:40	10:40		ELAZIG (EZS)	Domestic	Active	 Detail
PC 2571	PC 2571	23/09/2026	10:40	10:40		MALATYA (MLX)	Domestic	Active	 Detail
TK 3091	TK 3091	23/09/2026	10:40	10:40		MUGLA (BJV)	Domestic	Active	 Detail
TK 3205	TK 3205	23/09/2026	10:40	10:40		ERZURUM (ERZ)	Domestic	Active	 Detail
VF 3031	VF 3031	23/09/2026	10:40	10:40		ANTALYA (AYT)	Domestic	Active	 Detail
TK 2243	TK 2243	23/09/2026	11:00	10:40		SANLIURFA (GNY)	Domestic	Active	 Detail
TK 604	TK 604	23/09/2026	11:05	10:40		DAR ES SALAAM (DAR)	International	Active	 Detail
TK 2643	TK 2643	23/09/2026	10:30	10:41		ELAZIG (EZS)	Domestic	Active	 Detail
TK 263	TK 263	23/09/2026	10:30	10:42		XORAZM (UGC)	International	Active	 Detail
TK 1710	TK 1710	23/09/2026	10:55	10:42		BADEN-WUERTTEMBERG (STR)	International	Active	 Detail
TK 1878	TK 1878	23/09/2026	10:50	10:43		LOMBARDY (MXP)	International	Active	 Detail
TBZ 6617	TBZ 6617	23/09/2026	09:50	10:45		TEHRAN (THR)	International	Scheduled	 Detail
