Airline	Flight No	Date	Scheduled	Estimated	Gate	Arrival	Location	Status	Detail
IS 7358	IS 7358	23/09/2026	12:00	12:00		EAST AZERBAIJAN (TBZ)	International	Scheduled	 Detail
TK 617	TK 617	23/09/2026	12:05	12:05	 A1D	CHAOUIA-OUARDIGHA (CMN)	International	Scheduled	 Detail
TK 92	TK 92	23/09/2026	12:05	12:05	 F5B	MAKKAH (JED)	International	Scheduled	 Detail
TK 2462	TK 2462	23/09/2026	12:15	12:05	 G5A	CASTELO BRANCO (COV)	International	Scheduled	 Detail
TK 340	TK 340	23/09/2026	12:15	12:05	 F2	BAKI (GYD)	International	Scheduled	 Detail
TO 3421	TO 3421	23/09/2026	12:10	12:10		PAYS DE LA LOIRE (NTE)	International	Scheduled	 Detail
TK 1033	TK 1033	23/09/2026	12:20	12:10	 F9B	PEST (BUD)	International	Scheduled	 Detail
TK 108	TK 108	23/09/2026	12:20	12:10	 D17	AL MADINAH AL MUNAWWARAH (MED)	International	Scheduled	 Detail
TK 1725	TK 1725	23/09/2026	12:20	12:10	 A11B	BERLIN (BER)	International	Scheduled	 Detail
TK 1895	TK 1895	23/09/2026	12:20	12:10	 F8A	LOMBARDY (MXP)	International	Scheduled	 Detail
TK 1913	TK 1913	23/09/2026	12:20	12:10	 F9A	ZURICH (ZRH)	International	Scheduled	 Detail
TK 2510	TK 2510	23/09/2026	12:20	12:10	 G3H	MUGLA (BJV)	Domestic	Scheduled	 Detail
2U 2902	2U 2902	23/09/2026	12:15	12:15		SURXONDARYO (TMJ)	International	Scheduled	 Detail
TK 2632	TK 2632	23/09/2026	12:15	12:15		MALATYA (MLX)	Domestic	Canceled	 Detail
TK 1825	TK 1825	23/09/2026	12:25	12:15	 A1E	PARIS (CDG)	International	Scheduled	 Detail
TK 1865	TK 1865	23/09/2026	12:25	12:15	 F18	LATIUM (FCO)	International	Scheduled	 Detail
TK 619	TK 619	23/09/2026	12:25	12:15	 B5B	MARRAKECH-TENSIFT-AL HAOUZ (RAK)	International	Scheduled	 Detail
TK 1323	TK 1323	23/09/2026	12:20	12:20	 B8A	EMILIA-ROMAGNA (BLQ)	International	Scheduled	 Detail
TK 2202	TK 2202	23/09/2026	12:20	12:20		KAHRAMANMARAS (KCM)	Domestic	Canceled	 Detail
TK 824	TK 824	23/09/2026	12:25	12:25	 B18A	MONT-LIBAN (BEY)	International	Scheduled	 Detail
BJ 641	BJ 641	23/09/2026	12:30	12:30		ARIANA (TUN)	International	Scheduled	 Detail
HY 272	HY 272	23/09/2026	12:30	12:30		TOSHKENT SHAHRI (TAS)	International	Scheduled	 Detail
PC 3305	PC 3305	23/09/2026	12:30	12:30	 G11B	IZMIR (ADB)	Domestic	Scheduled	 Detail
TK 2558	TK 2558	23/09/2026	12:30	12:30	 G2B	MUGLA (DLM)	Domestic	Scheduled	 Detail
TU 215	TU 215	23/09/2026	12:30	12:30		ARIANA (TUN)	International	Scheduled	 Detail
TK 2226	TK 2226	23/09/2026	12:40	12:30	 G1G	GAZIANTEP (GZT)	Domestic	Scheduled	 Detail
TK 2418	TK 2418	23/09/2026	12:40	12:30	 G8B	ANTALYA (AYT)	Domestic	Scheduled	 Detail
A3 435	A3 435	23/09/2026	12:35	12:35		CRETE (HER)	International	Scheduled	 Detail
TK 1451	TK 1451	23/09/2026	12:45	12:35	 B18A	PORTO (OPO)	International	Scheduled	 Detail
TK 1759	TK 1759	23/09/2026	12:40	12:40	 A8A	LISBON (LIS)	International	Scheduled	 Detail
U6 784	U6 784	23/09/2026	12:40	12:40		MOSKOVSKAYA (DME)	International	Scheduled	 Detail
TK 1771	TK 1771	23/09/2026	12:50	12:40	 F8B	CENTRAL BOHEMIA (PRG)	International	Scheduled	 Detail
TK 394	TK 394	23/09/2026	12:50	12:40	 B6A	AJARIA (BUS)	International	Scheduled	 Detail
SU 631	SU 631	23/09/2026	12:45	12:45		SVERDLOVSK (SVX)	International	Scheduled	 Detail
TK 2254	TK 2254	23/09/2026	12:55	12:45	 G6B	HATAY (HTY)	Domestic	Scheduled	 Detail
KU 156	KU 156	23/09/2026	12:50	12:50		AL FARWANIYAH (KWI)	International	Scheduled	 Detail
TK 2150	TK 2150	23/09/2026	13:00	12:50	 G11A	ANKARA (ESB)	Domestic	Scheduled	 Detail
TK 6909	TK 6909	23/09/2026	13:00	12:50	 F1A	DUBROVACKO-NERETVANSKA (DBV)	International	Scheduled	 Detail
S7 5890	S7 5890	23/09/2026	12:55	12:55		NOVOSIBIRSK (OVB)	International	Scheduled	 Detail
TK 2016	TK 2016	23/09/2026	13:05	12:55	 G5B	KAYSERI (ASR)	Domestic	Scheduled	 Detail
TK 2054	TK 2054	23/09/2026	13:00	13:00	 G7A	KUTAHYA (KZR)	Domestic	Scheduled	 Detail
TK 2324	TK 2324	23/09/2026	13:00	13:00	 G2A	IZMIR (ADB)	Domestic	Scheduled	 Detail
TK 2522	TK 2522	23/09/2026	13:00	13:00	 G10A	MUGLA (BJV)	Domestic	Scheduled	 Detail
TK 1463	TK 1463	23/09/2026	13:10	13:00	 B8B	CAMPANIA (NAP)	International	Scheduled	 Detail
TK 1039	TK 1039	23/09/2026	13:15	13:05	 B16	ILFOV (OTP)	International	Scheduled	 Detail
TK 1305	TK 1305	23/09/2026	13:15	13:05	 A7B	MALAGA (AGP)	International	Scheduled	 Detail
