AY 1302	AY 1302	23/09/2026	11:55	11:55	 C22	HELSINKI (HEL)	International	Scheduled	 Detail
AZ 107	AZ 107	23/09/2026	11:55	11:55	 C13	LATIUM (FCO)	International	Scheduled	 Detail
WA 1201	WA 1201	23/09/2026	11:55	11:55	 B7	AKERSHUS (OSL)	International	Scheduled	 Detail
WA 1337	WA 1337	23/09/2026	11:55	11:55	 B2	LOWER SILESIAN VOIVODESHIP (WRO)	International	Scheduled	 Detail
KL 1959	KL 1959	23/09/2026	12:00	12:00	 D14	ISTANBUL (IST)	International	Scheduled	 Detail
UA 908	UA 908	23/09/2026	12:00	12:00	 E2	ILLINOIS (ORD)	International	Scheduled	 Detail
WA 1139	WA 1139	23/09/2026	12:00	12:00	 D6	LEINSTER (DUB)	International	Scheduled	 Detail
WA 1853	WA 1853	23/09/2026	12:00	12:00	 B36	BAVARIA (MUC)	International	Scheduled	 Detail
WA 1933	WA 1933	23/09/2026	12:05	12:05	 B3	GENEVA (GVA)	International	Scheduled	 Detail
WA 903	WA 903	23/09/2026	12:05	12:05	 D6	SCOTLAND (INV)	International	Scheduled	 Detail
EC 5531	EC 5531	23/09/2026	12:10	12:10		ENGLAND (BRS)	International	Scheduled	 Detail
IB 732	IB 732	23/09/2026	12:10	12:10	 C8	MADRID (MAD)	International	Scheduled	 Detail
WA 1305	WA 1305	23/09/2026	12:10	12:10	 B16	POMERANIAN VOIVODESHIP (GDN)	International	Scheduled	 Detail
WA 1333	WA 1333	23/09/2026	12:10	12:10	 B5	GREATER POLAND VOIVODESHIP (POZ)	International	Scheduled	 Detail
AC 901	AC 901	23/09/2026	12:15	12:15	 E3	QUEBEC (YUL)	International	Scheduled	 Detail
HV 5625	HV 5625	23/09/2026	12:15	12:15	 C18	BALEARIC ISLANDS (PMI)	International	Scheduled	 Detail
KL 1955	KL 1955	23/09/2026	12:15	12:15	 D68	ATTICA (ATH)	International	Scheduled	 Detail
KL 535	KL 535	23/09/2026	12:15	12:15	 E22	KIGALI (KGL)	International	Scheduled	 Detail
LY 338	LY 338	23/09/2026	12:15	12:15	 G7	CENTRAL DISTRICT (TLV)	International	Scheduled	 Detail
WA 1177	WA 1177	23/09/2026	12:15	12:15	 B6	ROGALAND (SVG)	International	Scheduled	 Detail
WA 1233	WA 1233	23/09/2026	12:15	12:15	 B34	VAESTRA GOETALAND (GOT)	International	Scheduled	 Detail
WA 1777	WA 1777	23/09/2026	12:15	12:15	 B18	BERLIN (BER)	International	Scheduled	 Detail
WA 1921	WA 1921	23/09/2026	12:15	12:15	 B30	ZURICH (ZRH)	International	Scheduled	 Detail
A3 625	A3 625	23/09/2026	12:20	12:20	 C10	ATTICA (ATH)	International	Scheduled	 Detail
AF 1415	AF 1415	23/09/2026	12:20	12:20	 B1	BRITTANY (RNS)	International	Scheduled	 Detail
CX 270	CX 270	23/09/2026	12:20	12:20	 G9	TUEN MUN (HKG)	International	Scheduled	 Detail
HV 5135	HV 5135	23/09/2026	12:20	12:20	 C6	CATALONIA (BCN)	International	Scheduled	 Detail
KL 1355	KL 1355	23/09/2026	12:20	12:20	 C7	CENTRAL BOHEMIA (PRG)	International	Scheduled	 Detail
KL 565	KL 565	23/09/2026	12:20	12:20	 D10	NAIROBI AREA (NBO)	International	Scheduled	 Detail
WA 1295	WA 1295	23/09/2026	12:20	12:20	 B26	SOUTH DENMARK (BLL)	International	Scheduled	 Detail
ZQ 1285	ZQ 1285	23/09/2026	12:20	12:20	 B2	NORTH DENMARK (AAL)	International	Scheduled	 Detail
BT 314	BT 314	23/09/2026	12:25	12:25	 B27	LOWER AUSTRIA (VIE)	International	Scheduled	 Detail
KL 1045	KL 1045	23/09/2026	12:25	12:25	 D56	ENGLAND (BHX)	International	Scheduled	 Detail
KL 677	KL 677	23/09/2026	12:25	12:25	 D7	ALBERTA (YYC)	International	Scheduled	 Detail
WA 1421	WA 1421	23/09/2026	12:25	12:25	 B8	PAYS DE LA LOIRE (NTE)	International	Scheduled	 Detail
WA 939	WA 939	23/09/2026	12:25	12:25	 D6	SCOTLAND (GLA)	International	Scheduled	 Detail
ZQ 1843	ZQ 1843	23/09/2026	12:25	12:25	 B7	BAVARIA (NUE)	International	Scheduled	 Detail
KL 1407	KL 1407	23/09/2026	12:30	12:30	 C5	PARIS (CDG)	International	Scheduled	 Detail
KL 1583	KL 1583	23/09/2026	12:30	12:30	 D74	LISBON (LIS)	International	Scheduled	 Detail
VF 2	VF 2	23/09/2026	12:30	12:30	 D27	ISTANBUL (SAW)	International	Scheduled	 Detail
WA 1831	WA 1831	23/09/2026	12:30	12:30	 B28	BADEN-WUERTTEMBERG (STR)	International	Scheduled	 Detail
ZQ 1819	ZQ 1819	23/09/2026	12:30	12:30	 B24	HESSE (FRA)	International	Scheduled
